"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 22 23:51:51 MSK 2020","Tue Dec 22 23:51:52 MSK 2020","1272","PycharmProjects.stepik_lessons.module_5","test_product_page","TestProductPage","","","test_guest_should_see_login_link_on_product_page",""
"passed","Tue Dec 22 23:51:07 MSK 2020","Tue Dec 22 23:51:10 MSK 2020","3434","PycharmProjects.stepik_lessons.module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[?promo=offer9]",""
"passed","Tue Dec 22 23:50:31 MSK 2020","Tue Dec 22 23:50:34 MSK 2020","2608","PycharmProjects.stepik_lessons.module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[?promo=offer6]",""
"passed","Tue Dec 22 23:49:20 MSK 2020","Tue Dec 22 23:49:32 MSK 2020","12006","PycharmProjects.stepik_lessons.module_5","test_main_page","TestMainPage","","","test_guest_cant_see_product_in_basket_opened_from_main_page",""
"passed","Tue Dec 22 23:49:38 MSK 2020","Tue Dec 22 23:49:40 MSK 2020","2678","PycharmProjects.stepik_lessons.module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[?promo=offer0]",""
"passed","Tue Dec 22 23:51:25 MSK 2020","Tue Dec 22 23:51:38 MSK 2020","13080","PycharmProjects.stepik_lessons.module_5","test_product_page","TestProductPage","","","test_guest_cant_see_success_message",""
"passed","Tue Dec 22 23:50:13 MSK 2020","Tue Dec 22 23:50:16 MSK 2020","2746","PycharmProjects.stepik_lessons.module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[?promo=offer4]",""
"passed","Tue Dec 22 23:49:13 MSK 2020","Tue Dec 22 23:49:14 MSK 2020","1269","PycharmProjects.stepik_lessons.module_5","test_main_page","TestMainPage","","","test_guest_should_see_login_link",""
"skipped","Tue Dec 22 23:51:43 MSK 2020","Tue Dec 22 23:51:45 MSK 2020","1531","PycharmProjects.stepik_lessons.module_5","test_product_page","TestProductPage","","","test_message_disappeared_after_adding_product_to_basket",""
"passed","Tue Dec 22 23:51:58 MSK 2020","Tue Dec 22 23:51:59 MSK 2020","1603","PycharmProjects.stepik_lessons.module_5","test_product_page","TestProductPage","","","test_guest_can_go_to_login_page_from_product_page",""
"passed","Tue Dec 22 23:50:05 MSK 2020","Tue Dec 22 23:50:08 MSK 2020","2688","PycharmProjects.stepik_lessons.module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[?promo=offer3]",""
"passed","Tue Dec 22 23:50:22 MSK 2020","Tue Dec 22 23:50:25 MSK 2020","3498","PycharmProjects.stepik_lessons.module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[?promo=offer5]",""
"passed","Tue Dec 22 23:53:03 MSK 2020","Tue Dec 22 23:53:04 MSK 2020","1486","PycharmProjects.stepik_lessons.module_5","test_screenshots","","","","test_item_page_has_add_basket_button",""
"passed","Tue Dec 22 23:50:58 MSK 2020","Tue Dec 22 23:51:01 MSK 2020","2855","PycharmProjects.stepik_lessons.module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[?promo=offer8]",""
"passed","Tue Dec 22 23:49:46 MSK 2020","Tue Dec 22 23:49:49 MSK 2020","2923","PycharmProjects.stepik_lessons.module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[?promo=offer1]",""
"skipped","Tue Dec 22 23:51:16 MSK 2020","Tue Dec 22 23:51:19 MSK 2020","2533","PycharmProjects.stepik_lessons.module_5","test_product_page","TestProductPage","","","test_guest_cant_see_success_message_after_adding_product_to_basket",""
"passed","Tue Dec 22 23:52:05 MSK 2020","Tue Dec 22 23:52:18 MSK 2020","12339","PycharmProjects.stepik_lessons.module_5","test_product_page","TestProductPage","","","test_guest_cant_see_product_in_basket_opened_from_product_page",""
"passed","Tue Dec 22 23:49:55 MSK 2020","Tue Dec 22 23:49:58 MSK 2020","2936","PycharmProjects.stepik_lessons.module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[?promo=offer2]",""
"broken","Tue Dec 22 23:50:40 MSK 2020","Tue Dec 22 23:50:52 MSK 2020","12473","PycharmProjects.stepik_lessons.module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[?promo=offer7]",""
"passed","Tue Dec 22 23:49:05 MSK 2020","Tue Dec 22 23:49:07 MSK 2020","1723","PycharmProjects.stepik_lessons.module_5","test_main_page","TestMainPage","","","test_guest_can_go_to_login_page",""
"passed","Tue Dec 22 23:52:30 MSK 2020","Tue Dec 22 23:52:42 MSK 2020","12021","PycharmProjects.stepik_lessons.module_5","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_cant_see_success_message",""
"passed","Tue Dec 22 23:52:53 MSK 2020","Tue Dec 22 23:52:57 MSK 2020","3787","PycharmProjects.stepik_lessons.module_5","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_can_add_product_to_basket",""
